stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
practic product	production practices	production practices	2	6,29455750551	38,8165356986	157,630416726	4,0	249,0	 
applic health ict	health ICT applications	health ICT applications	3	5,95713542369	39,4793837021	213,785334021	2,0	119,0	 
health organ world	World Health Organization	World Health Organization	3	5,95713542369	37,0639731435	184,273978814	3,0	257,0	 
acidif	acidification	acidification	1	22,8356857908	116,990998687	203,289846376	23,0	1814,0	 
gener wast	waste generation	waste generation|&|generation of waste	2	40,9146237858	184,461704136	427,578136659	21,0	1376,0	 
factor main	main factors	main factors|&|main factor	2	14,1627543874	75,8521998443	172,105062656	9,0	504,0	 
altern	alternative	alternative|&|alternatives|&|ALTERNATIVE|&|Alternatives	1	159,849800536	501,663020096	221,33726396	208,0	12003,0	 
co2 concentr	CO2 concentration	CO2 concentration|&|CO2 concentrations|&|concentration of CO2	2	18,8836725165	103,360442732	333,119174521	12,0	698,0	 
methodolog propos	proposed methodology	proposed methodology	2	9,44183625827	54,3964683888	168,409451948	6,0	359,0	 
climat variabl	climate variability	climate variability	2	7,86819688189	48,5206696233	240,604820746	4,0	217,0	 
complement	complement	complement	1	10,9214149434	61,330756807	174,975483573	13,0	882,0	 
industri network	industrial networks	industrial networks	2	6,29455750551	38,8165356986	227,975290294	4,0	140,0	 
sever type	several types	several types|&|Several types	2	9,44183625827	54,3964683888	173,843191399	6,0	323,0	 
consumpt	consumption	consumption|&|Consumption|&|consumptions|&|CONSUMPTION	1	141,978394265	458,028768741	1445,78637515	419,0	22285,0	 
case sever studi	several case studies	several case studies	3	5,95713542369	37,0639731435	182,342313837	3,0	166,0	 
deplet natur resourc	natural resource depletion	natural resource depletion	3	5,95713542369	37,0639731435	159,749320408	3,0	130,0	 
control scheme	control scheme	control scheme|&|control schemes	2	7,86819688189	48,5206696233	194,101964824	4,0	234,0	 
nanoceria	nanoceria	nanoceria	1	6,94999132764	50,8766478795	181,868102497	2,0	94,0	 
complementar	complementarity	complementarity|&|complementarities	1	7,94284723159	47,1336161053	177,261106916	8,0	352,0	 
popul	population	population|&|populations|&|Population	1	123,11413209	414,789535634	321,73599931	157,0	9208,0	 
extract hot water	hot water extraction	hot water extraction	3	5,95713542369	39,4793837021	160,601536917	2,0	69,0	 
anox	anoxic	anoxic	1	5,95713542369	41,1931447667	173,42962525	3,0	184,0	 
cdm project	CDM projects	CDM projects|&|CDM project	2	11,0154756347	65,4709051201	183,712564459	5,0	285,0	 
design network	network design	network design	2	9,44183625827	56,1179186744	217,351217828	5,0	225,0	 
aspect econom	economic aspects	economic aspects	2	12,589115011	68,9069618216	186,320905316	8,0	541,0	 
motorcycl	motorcycle	motorcycle|&|motorcycles	1	7,94284723159	52,6391782695	165,420097012	6,0	277,0	 
anod	anode	anode|&|anodic	1	8,93570313554	53,0253181185	157,042817562	9,0	404,0	 
debri fine	debris fines	debris fines	2	9,44183625827	64,7693857297	187,915609332	2,0	90,0	 
flow manag materi	material flow management	material flow management	3	5,95713542369	37,0639731435	185,802988821	3,0	178,0	 
flow money	money flows	money flows|&|money flow	2	7,86819688189	50,7842088087	194,535060038	3,0	192,0	 
educ secondari	secondary education	secondary education	2	6,29455750551	38,8165356986	248,299751586	4,0	148,0	 
load	load	load|&|loads|&|loadings	1	61,5570660448	248,890323594	160,0271647	74,0	3990,0	 
group hai hua	Hai Hua Group	Hai Hua Group	3	5,95713542369	37,0639731435	275,111441837	3,0	166,0	 
cleaner	Cleaner	Cleaner	1	4,96427951974	34,3276206389	209,322690555	9,0	591,0	 
construct materi	construction materials	construction materials|&|materials of construction	2	12,589115011	70,588003881	398,438539214	7,0	412,0	 
air condition	air conditioners	air conditioners	2	15,7363937638	90,6607806479	162,062395449	8,0	419,0	 
pm	PM	PM|&|Pm|&|pm	1	48,6499392935	244,115910164	188,957838428	22,0	1331,0	 
batteri	battery	battery|&|batteries|&|Battery	1	39,714236158	184,521931184	219,118833508	37,0	1977,0	 
desktop	desktop	desktop|&|desktops	1	11,9142708474	72,2913533363	161,25352254	9,0	608,0	 
distribut function probabl	probability distribution functions	probability distribution functions	3	7,94284723159	52,6391782695	191,515347294	2,0	114,0	 
manag system wast	waste management system	waste management system|&|waste management systems|&|Waste Management System	3	25,8142535027	127,070529965	190,257494476	11,0	783,0	 
pp	PP	PP	1	9,92855903949	60,2427944469	200,777253334	7,0	345,0	 
pv	PV	PV|&|PVs|&|pv	1	30,7785330224	167,699544067	172,828909087	15,0	987,0	 
energi perform	energy performance	energy performance|&|Energy Performance	2	14,1627543874	77,5203320494	212,557766667	8,0	460,0	 
instrument	instruments	instruments|&|instrument|&|instrumentation|&|Instrument	1	57,585642429	232,832883362	183,145268722	74,0	3914,0	 
chemic industri	chemical industry	chemical industry|&|Chemical Industry|&|chemical industries	2	31,4727875276	146,745170159	305,896997258	24,0	1220,0	 
manag option wast	waste management options	waste management options	3	5,95713542369	37,0639731435	181,569159035	3,0	200,0	 
environment qualiti	environmental quality	environmental quality|&|quality environmental	2	42,4882631622	185,882868114	273,239317808	24,0	1239,0	 
assess life-cycl	life-cycle assessment	life-cycle assessment|&|life-cycle assessments|&|Life-cycle assessment	2	61,3719356788	245,342198879	330,77362161	35,0	1336,0	 
side-effect	side-effects	side-effects|&|side-effect	1	4,96427951974	31,7917394567	161,631042658	5,0	271,0	 
teacher	teachers	teachers|&|teacher|&|Teacher|&|Teachers	1	82,4070400278	341,357672792	630,993546466	67,0	2750,0	 
center data energi	data center energy	data center energy	3	7,94284723159	52,6391782695	190,712574204	4,0	257,0	 
coeffici distribut	distribution coefficient	distribution coefficient|&|distribution coefficients|&|distribution of these coefficients	2	6,29455750551	38,8165356986	183,062434962	4,0	194,0	 
ireland	Ireland	Ireland	1	13,8999826553	76,8478702142	158,302000519	18,0	957,0	 
center data environ	data center environment	data center environment	3	5,95713542369	37,0639731435	178,247556057	3,0	174,0	 
ph	pH	pH|&|Ph	1	57,585642429	255,105453607	346,344232923	41,0	2316,0	 
analysi life-cycl	life-cycle analysis	life-cycle analysis|&|LIFE-CYCLE ANALYSIS	2	18,8836725165	95,7037724141	159,087809637	12,0	427,0	 
amount total	total amounts	total amounts|&|total amount	2	7,86819688189	46,7649322286	171,58994424	6,0	399,0	 
strategi	strategies	strategies|&|strategy|&|Strategies|&|Strategy|&|STRATEGY	1	303,813906608	775,926070854	298,367162087	365,0	19622,0	 
firm	firms	firms|&|firm|&|Firms|&|Firm	1	72,4784809883	297,271526181	190,742219776	56,0	3192,0	 
economi emerg	emerging economies	emerging economies	2	12,589115011	74,8238915658	174,945864827	5,0	361,0	 
factor influenc	factors influencing	factors influencing|&|factors that influence|&|factors of influence|&|influence factors|&|factors influence|&|influencing factors	2	17,3100331402	89,2346278655	266,39750085	11,0	537,0	 
method simul	simulation method	simulation method|&|simulation methods	2	6,29455750551	38,8165356986	252,845307496	4,0	176,0	 
top-down	top-down	top-down	1	11,9142708474	68,0418314497	163,68232446	13,0	696,0	 
fire	fire	fire|&|fires|&|Fire	1	26,8071094066	142,224773248	160,804823156	19,0	792,0	 
citizen	citizens	citizens|&|citizen|&|Citizens	1	33,7571007343	158,028222724	266,375652144	29,0	1645,0	 
penetr rate	penetration rates	penetration rates|&|penetration rate	2	11,0154756347	61,7645033959	157,69314883	7,0	419,0	 
collect data	data collection	data collection|&|collected data	2	26,7518693984	127,884311023	171,082175698	19,0	1133,0	 
defect	defects	defects|&|defect	1	25,8142535027	127,070529965	306,396606928	26,0	1197,0	 
gan	GaN	GaN	1	4,96427951974	32,8994864184	158,980238416	4,0	150,0	 
understand	understandings	understandings	1	4,96427951974	31,7917394567	174,217124304	5,0	266,0	 
motor vehicl	motor vehicles	motor vehicles|&|motor vehicle	2	18,8836725165	97,3468667624	332,616865137	11,0	637,0	 
demand	demand	demand|&|demands|&|Demand|&|DEMAND	1	164,814080056	508,662995587	267,84027374	276,0	15570,0	 
manag polici	management policies	management policies|&|management policy|&|policies management|&|policy and management	2	17,3100331402	89,2346278655	200,406554945	11,0	550,0	 
educ	education	education|&|Education|&|educators|&|EDUCATION	1	107,228437626	379,181253727	381,708723273	170,0	7514,0	 
bu intermitt lane	intermittent bus lane	intermittent bus lane	3	5,95713542369	39,4793837021	161,188459833	2,0	88,0	 
environment pollut	environmental pollution	environmental pollution	2	29,8991481512	139,407911651	280,707739348	18,0	895,0	 
develop economi sustain	sustainable development of economy	sustainable development of economy|&|sustainable development and economy|&|sustainable development economy	4	9,92855903949	56,7015262081	238,111015996	5,0	211,0	 
solid	solids	solids	1	9,92855903949	57,7476043083	167,539323571	17,0	834,0	 
batch	batch	batch	1	5,95713542369	38,150087348	160,620681792	8,0	367,0	 
reliabl	reliability	reliability|&|Reliable|&|Reliability	1	59,5713542369	251,947968302	165,656609389	58,0	3076,0	 
meteorolog	meteorology	meteorology	1	8,93570313554	53,0253181185	200,709325191	8,0	427,0	 
assess cycl life methodolog	life cycle assessment methodology	life cycle assessment methodology	4	11,9142708474	70,7004241579	221,848748553	4,0	257,0	 
plasma polymer	plasma polymerization	plasma polymerization	2	6,29455750551	43,1795904865	175,308467704	2,0	58,0	 
collabor design	collaborative design	collaborative design	2	6,29455750551	38,8165356986	192,104792511	4,0	109,0	 
mg/m	mg/m	mg/m	1	4,96427951974	32,8994864184	174,802492376	4,0	224,0	 
issu social	social issues	social issues	2	9,44183625827	54,3964683888	206,105578931	6,0	397,0	 
voc	VOCs	VOCs|&|VOC|&|vocs	1	27,7999653106	151,470555932	238,802239451	13,0	641,0	 
develop sustain urban	urban sustainable development	urban sustainable development|&|sustainable urban development	3	19,857118079	109,782671735	201,886698004	6,0	300,0	 
design sustain	sustainable design	sustainable design|&|design for sustainability|&|Design for Sustainability|&|design in sustainability	2	25,1782300221	121,986670223	323,04128208	15,0	509,0	 
resourc water	water resources	water resources|&|water resource|&|Water Resources|&|resource water	2	55,0773781733	228,669111718	680,877066908	52,0	2364,0	 
cycl inventori life	life cycle inventory	life cycle inventory|&|Life Cycle Inventory|&|life cycle inventories|&|Life cycle inventory	3	45,6713715817	193,160109032	482,859514113	29,0	1545,0	 
centuri	century	century|&|centuries|&|Century	1	35,7428125422	161,451347369	178,737996477	67,0	3674,0	 
minim	minimization	minimization	1	7,94284723159	47,1336161053	158,247131337	12,0	578,0	 
ch4 consumpt	CH4 consumption	CH4 consumption|&|consumption of CH4	2	6,29455750551	43,1795904865	203,284088208	2,0	140,0	 
provid servic	Service Providers	Service Providers|&|providing services	2	7,86819688189	48,5206696233	165,912974981	4,0	218,0	 
pharmaceut	pharmaceuticals	pharmaceuticals	1	9,92855903949	61,7732885726	200,14396855	6,0	271,0	 
corridor	corridor	corridor|&|corridors	1	8,93570313554	53,0253181185	173,893292383	8,0	522,0	 
flow indirect	indirect flows	indirect flows	2	11,0154756347	67,9289374726	232,146645685	4,0	157,0	 
cement kiln	cement kilns	cement kilns|&|cement kiln	2	11,0154756347	63,4625464536	170,089697453	6,0	303,0	 
control qualiti	quality control	quality control|&|control of the quality	2	9,44183625827	54,3964683888	244,326167377	8,0	390,0	 
strategi transport	transport strategies	transport strategies	2	7,86819688189	46,7649322286	207,444705183	5,0	282,0	 
sampl soil	soil samples	soil samples	2	11,0154756347	63,4625464536	263,215778811	6,0	286,0	 
cement	cement	cement|&|cements|&|Cement	1	62,5499219488	277,097303056	211,678517628	54,0	2547,0	 
ch4 oxid	CH4 oxidation	CH4 oxidation	2	12,589115011	77,6330713973	218,212052163	4,0	284,0	 
fuel use	fuel use	fuel use|&|use of fuel	2	15,7363937638	90,6607806479	216,796286772	9,0	583,0	 
rich speci	species richness	species richness	2	9,44183625827	54,3964683888	158,755038916	6,0	424,0	 
larg scale	large scale	large scale	2	7,86819688189	46,7649322286	177,035588973	5,0	304,0	 
construct demolit wast	construction and demolition waste	construction and demolition waste	4	13,8999826553	76,8478702142	282,555483201	6,0	262,0	 
cycl water	water cycle	water cycle|&|cycle water	2	11,0154756347	65,4709051201	223,763829955	7,0	405,0	 
task	task	task|&|tasks|&|Task	1	54,6070747172	228,524923557	194,8367174	57,0	3230,0	 
carbon emiss total	total carbon emissions	total carbon emissions	3	5,95713542369	39,4793837021	200,101382616	2,0	114,0	 
fuel vehicl	vehicle fuel	vehicle fuel|&|fuel vehicle	2	7,86819688189	46,7649322286	154,014991983	5,0	437,0	 
integr inter-pl water	inter-plant water integration	inter-plant water integration	3	5,95713542369	37,0639731435	305,002761424	3,0	94,0	 
chang climat mitig	climate change mitigation	climate change mitigation	3	9,92855903949	56,7015262081	250,327487754	5,0	322,0	 
alum shale	alum shale	alum shale	2	9,44183625827	60,9410505705	177,70971783	3,0	105,0	 
end life	end of life	end of life|&|End of Life	3	15,7363937638	82,6222274877	182,106089846	13,0	637,0	 
deplet	depletion	depletion|&|Depletion	1	24,8213975987	125,822105011	192,312769486	50,0	3528,0	 
data input	input data	input data|&|data input	2	18,8836725165	95,7037724141	285,603748373	12,0	841,0	 
cell fuel vehicl	fuel cell vehicles	fuel cell vehicles	3	5,95713542369	37,0639731435	156,928640662	3,0	199,0	 
pollen	pollen	pollen	1	7,94284723159	52,6391782695	167,88771189	4,0	166,0	 
amount consider	considerable amount	considerable amount	2	9,44183625827	56,1179186744	244,509118245	7,0	376,0	 
land surfac	land surface	land surface	2	6,29455750551	38,8165356986	173,912431749	4,0	250,0	 
collabor	collaboration	collaboration|&|Collaborative|&|Collaboration|&|COLLABORATION	1	59,5713542369	241,996330248	273,330981327	58,0	2741,0	 
pss	PSS	PSS	1	6,94999132764	50,8766478795	168,843355112	2,0	158,0	 
grid power	power grid	power grid	2	11,0154756347	65,4709051201	189,954847613	5,0	266,0	 
construct sector	construction sector	construction sector	2	14,1627543874	79,4115043661	315,906950214	7,0	467,0	 
architectur network	network architecture	network architecture	2	6,29455750551	40,627367047	169,478808253	3,0	207,0	 
effort joint	joint effort	joint effort|&|joint efforts	2	6,29455750551	38,8165356986	195,065189753	4,0	231,0	 
gt	Gt	Gt|&|GT	1	10,9214149434	69,9418268047	183,111433721	5,0	314,0	 
dynam simul	dynamic simulation	dynamic simulation	2	11,0154756347	63,4625464536	205,621391784	6,0	328,0	 
ecolog industri perspect	industrial ecology perspective	industrial ecology perspective|&|perspective of industrial ecology	3	7,94284723159	47,1336161053	242,592747145	4,0	191,0	 
reduct signific	significant reduction	significant reduction|&|significant reductions	2	15,7363937638	82,6222274877	201,899993719	10,0	597,0	 
civil societi	civil society	civil society|&|Civil Society	2	14,1627543874	77,5203320494	267,448108389	8,0	324,0	 
emiss reduct	emission reduction	emission reduction|&|emissions reductions|&|emissions reduction|&|emission reductions|&|Emission Reduction|&|reduction in emissions|&|reduction emission	2	73,9610506898	283,966390107	797,169260845	59,0	3467,0	 
product use	product use	product use|&|production and use|&|used products|&|Using Products|&|productive use|&|production or use|&|products in use|&|use for the production|&|use of this product|&|use of products|&|product in use	2	26,7518693984	127,884311023	178,716459071	18,0	1258,0	 
